0,1,2
2020-12-18 18:14:42,1339997531812585475,"chris ta veno video dos cara dançando
dogdu fazendo beat
bp dormindo
nenem roubou meu vape
os menino ta bem"
2020-12-18 18:12:57,1339997093512011778,meu quarto tem uma lagartixa so aparece qd a mariana nao ta aqui se nao ela ia ama a lagartixa
2020-12-18 18:07:27,1339995706652823553,boa tarde nesta porra vamos alimentar beber água colocar ração pra lagartixa
2020-12-18 18:05:30,1339995218834288641,enquanto me admiro em silêncio e me julgo em voz alta
2020-12-18 10:55:12,1339886931103117314,sim amo vcs
2020-12-18 10:55:11,1339886925864439808,sim to desacostumado
2020-12-18 10:54:48,1339886827772239872,sim eu so doido nela
2020-12-18 10:54:37,1339886781924257792,sim eu nao durmo nunca
2020-12-18 05:38:21,1339807192086687746,RT @TRAPLIFE77: Djonga x Sidoka https://t.co/HbrrZLsE5s
2020-12-18 04:07:05,1339784221766922241,"RT @picoca21: vai se fuder sidoka mlk brabo dms
q porra foi isso em vivência"
2020-12-18 03:31:25,1339775249001398272,RT @yngthx: sidoka no álbum do flacko lembrou muito a época de elevate 😪❤️
2020-12-18 03:31:01,1339775147151159296,RT @qeutglck: https://t.co/WslNWje4qp
2020-12-18 03:29:12,1339774690005577730,"RT @RapMais: Rapper Flacko lança seu primeiro álbum ""Filho Prodigo"" com Borges, Sidoka, Mc Igu e mais - https://t.co/FVuJntb5bl https://t.c…"
2020-12-18 03:11:16,1339770174782791682,RT @eoflacko: SAIU TÁ ❤️🙌🏾 CORRE LA NO YOUTUBE &amp; NO SPOTIFY
2020-12-18 03:08:54,1339769582651928579,seguimos convertendo https://t.co/sOc4ewVoyi
2020-12-18 03:08:12,1339769403999707136,"FLACKO FT DOKA NO DRILL

🔥🔥🔥🔥🔥🔥🔥

🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️

SAIU ALBUM DO FLACKO

 https://t.co/1ukIRMUBrw"
2020-12-18 02:51:34,1339765217295790082,RT @eoflacko: FALTAM 3HORAS PRO ÁLBUM SER LANÇADO 🙌🏾
2020-12-18 02:45:21,1339763656515612673,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 solta flacko https://t.co/x8BCtgb6Pz
2020-12-18 02:44:24,1339763414361665536,"e quando o jonas chega quebrano em consequencias

quando eu dormia no chão
cobertor de colchão
hoje eu tenho raro
k… https://t.co/7AMVpLOTtO"
2020-12-18 02:43:04,1339763081388421120,"não quer dormir sozinha
nem na casa da amiga"
2020-12-18 02:42:49,1339763015256825856,RT @fbctadoido: https://t.co/Q6TTRv7KrF
2020-12-18 02:42:30,1339762935854448640,RT @McAnjim: Tô de salamandra nova
2020-12-18 02:42:01,1339762817356980225,@marigalileia falei que ia te viciar em trap
2020-12-17 21:48:28,1339688943235829760,@z_robertoz te amo
2020-12-17 21:48:15,1339688888919580672,"RT @z_robertoz: obrigado sidoka por fazer musicas pro seus amigos, sempre fui fã pq sempre foram musicas que mexem cmg"
2020-12-17 21:21:04,1339682045535121416,"RT @fbctadoido: Saiu 

FBC &amp; VHOOR - De Kenner https://t.co/Wu1tJtxNEX via @YouTube"
2020-12-17 21:21:02,1339682036248961027,da nao ze essa aqui e sem condições https://t.co/TcWR4F9wDM
2020-12-17 08:02:56,1339481190122795009,TOM E JERRY O FILME NA NETFLIX MEU DEUS
2020-12-17 07:35:50,1339474371119894528,@nicxbt eu? dormir? eu?
2020-12-17 07:34:37,1339474062674964480,"eu nao sinto mais o medo
to queimando o meu dedo
de tanto fuma

zemaru te amo"
2020-12-17 07:10:22,1339467960658898944,quem tem uma conta do netfluxo pra eu zua ai rapidao vo assisti um maluco no pedaço e sair fora
2020-12-17 03:12:23,1339408068610838528,"RT @digolei: O Sidoka é tão inteligente, eu passo mal. https://t.co/RIeQhwvmL2"
2020-12-17 02:57:37,1339404351824162816,o assunto é eu pararam de falar quando eu desci
2020-12-16 04:03:52,1339058639877844993,@O_Corvinho essa musica dele da n
2020-12-16 03:45:02,1339053899722989569,"enquanto tu mira em mim
um braço mira em tu tambem"
2020-12-16 01:02:41,1339013042055634944,quero joga com os profissionais p eles me carregar https://t.co/C0ctTWcwOZ
2020-12-16 00:59:58,1339012358895783936,@aka_kaue 16bpp
2020-12-16 00:58:40,1339012030242631682,"jogava cs memo
quando cogu era awp
aspx foi pego xitando
eu sou reliquia
modo software pq opengl nao rodava"
2020-12-16 00:53:38,1339010763638398977,@vsmzin sei q vc e mibr mas tbm gosto do kscerato meu parsa
2020-12-16 00:52:11,1339010400369696770,@sampdirty @vsmzin entrou pa mibr e brabo vo segui e vai joga competitivo comigo pra me carrega
2020-12-16 00:14:43,1339000968789323776,verificado jamais no twitter
2020-12-15 23:31:57,1338990207132184576,"RT @JuveMaika: Tropa saiu Ambições de um Gueto 
Foi um trampo muito árduo de fazer mano, é um álbum bem elaborado e conceituado, entao assi…"
2020-12-15 19:20:03,1338926815876964353,RT @eoflacko: 3 DIAS PRO ÁLBUM “ FILHO PRÓDIGO “ 💿
2020-12-15 19:20:01,1338926805659611138,ASHHHHHHHHHHH PREPARA ! https://t.co/9AKTx2ka9C
2020-12-15 15:07:36,1338863283806167050,me tornei um inevitável
2020-12-15 15:02:49,1338862079218917377,RT @iriesnasci: fodasse meus pais tão vendo podcast do sidoka https://t.co/QgG2i1OtfW
2020-12-15 14:58:58,1338861109902598150,"porque nós perde chorando e eles perdem rindo, então cuidado com o mlk que ele é um labirinto"
2020-12-15 14:50:20,1338858938830184448,RT @DenovOficial: No dia que eu trombei o @npsidoka  pela primeira vez ele me contou a relação dele com a música Se essa noite eu morrer pa…
2020-12-15 14:50:14,1338858912234147847,"foi uma honra participar dessa faixa denov muito obrigado a conexão que eu tenho com "" se essa noite eu morrer "" é… https://t.co/ZdugeYOsSN"
2020-12-15 14:27:55,1338853299609612290,@ecologyk_ vc nao falha
2020-12-15 14:26:52,1338853034139525121,awwwww @yvnkvino https://t.co/WPJhVOBcrC
2020-12-15 14:25:41,1338852735819636736,"RT @vishmidia: [@IgorKuwahara] MC Igu apresenta nova mixtape, ouça ""ONI"" https://t.co/4Tu4F18hlV https://t.co/TdI9j8K8Y0"
2020-12-15 14:25:37,1338852717545074689,🔥🔥🔥🔥🔥❤️❤️❤️ monstro demais https://t.co/6HtwEtA6Fx
2020-12-15 14:22:16,1338851876289261570,@digolei digolei
2020-12-15 14:22:11,1338851853518385153,RT @digolei: Doka
2020-12-15 14:22:08,1338851842621640704,Doka https://t.co/M140hdhPT1
2020-12-15 13:22:16,1338836776878796800,RT @baconehruim: hoje deu saudadi do show dele 😔 doka t amo @npsidoka https://t.co/2Fvea0QrV0
2020-12-15 12:48:02,1338828162285834243,"RT @luksfarris: ""... e eu vou fazer de tudo mano, mesmo se for dificil.
E eu não tinha opção de desistir, não existia.
Era isso, eu joguei…"
2020-12-15 05:50:56,1338723195294281729,como se ser feliz fosse um pecado
2020-12-15 05:20:41,1338715581990760448,"RT @AquiGemeos: #Gêmeos Nunca confunda meu silêncio com ignorância, minha calma com aceitação, minha bondade com fraqueza ou minha sincerid…"
2020-12-15 05:09:38,1338712801465020416,"02:08 to elegante até
meu kit ta combinante"
2020-12-15 04:51:55,1338708341246341120,oiiiiiiii tropa da matina
2020-12-15 04:25:55,1338701797473521665,@marigalileia sou grato a cada segundo do seu lado
2020-12-15 04:25:19,1338701649859194884,"RT @marigalileia: sei lá obrigada por ser tão incrível 

você é único pra mim https://t.co/UTR9IIwKY1"
2020-12-14 20:22:58,1338580262486233090,RT @rosetajv_td2: Ninguém quer encher a forminha mas todo mundo quer o gelo bora ralar
2020-12-14 19:53:26,1338572828657016832,É A TROPA DO BRUXO 🤷🏻‍♀️ https://t.co/FWOnRB2ObX
2020-12-14 15:44:34,1338510197321560064,RT @Ochrismc: https://t.co/YayM0BPDSl https://t.co/nHjB2MPVvz
2020-12-13 21:06:34,1338228845254750211,RT @qeutglck: Doka https://t.co/RKz3VtbWIN
2020-12-13 21:04:37,1338228354781163522,@cairocesaar wpp
2020-12-13 14:59:58,1338136589428543488,acordei com a sorte do lado
2020-12-12 23:02:17,1337895578160795649,"RT @jefdelgado: Precisamos sempre relembrar o quanto ""Fa7her"" é um grande clássico https://t.co/wRBrcQ0FK0"
2020-12-12 21:35:37,1337873767821881346,"@JXNVS quando eu dormia no chao
cobertor de colchão
hoje tenho caro, kit raro
piloto buscano de carro"
2020-12-12 21:31:55,1337872837693083648,everytime i dress myself it go motherfuckin viral
2020-12-12 19:07:48,1337836568543977478,RT @oocbrazil: https://t.co/KgwkHnAwZB
2020-12-12 19:06:00,1337836118058930178,@cairocesaar olha ele como vem
2020-12-12 18:38:37,1337829223101325319,RT @rawrawemo777: Thread de visibilidade ao caso do rapper Delatorvi (@SvgDelatorvi) https://t.co/paBmWuvZ9h
2020-12-12 18:38:29,1337829191530778631,xaina qd vc pega uma agua com gás sem quere so percebe dps
2020-12-12 18:05:18,1337820840101109762,RT @qeutglck: https://t.co/zC1toysFeM
2020-12-12 17:52:56,1337817727105441793,"Maceió ✅
Porto Alegre ✅
São Paulo ✅

chegar no aeroporto de BH e manda um doka ✅"
2020-12-12 17:44:19,1337815557769474050,nao fiz faculdade mas faço dinheiro sorrindo dormindo
2020-12-12 17:25:13,1337810754356047872,RT @sidokando: o sidoka 😍 @marigalileia https://t.co/OgfePdfqMU
2020-12-12 15:06:50,1337775927523160064,@npbrendaa ❤️
2020-12-12 03:34:27,1337601683451486208,RT @borgesog: Eu espero muito que o álbum do Flacko tenha a atenção de todos vocês ❤️
2020-12-12 02:53:46,1337591444543049729,"RT @fslmentiroza: “aqui é o doka, aqui é o sukita, aqui é o sinuka e fodase” https://t.co/rgsgjnhdS9"
2020-12-12 02:29:11,1337585257009307651,RT @zemaruuramez: É não tem como não. É INTACTOZ pra sempre. Eu queria que todas as pessoas do mundo tivesse oportunidade de te conhecer pe…
2020-12-12 02:26:24,1337584557294575617,RT @leosaantos__: meio sidoka das ideia https://t.co/raZ8auvUu3
2020-12-12 02:22:55,1337583681108586502,gostaram
2020-12-12 02:06:20,1337579507021205507,RT @qeutglck: https://t.co/sczG6uea0v
2020-12-11 23:05:35,1337534022227013635,"calma, tô chegando https://t.co/gBnr9mP01T"
2020-12-11 22:59:28,1337532480140742656,RT @qeutglck: Yunk Vino feat. Sidoka - 30 dias https://t.co/bgKrpX9RHY
